Entity,Code,Year,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Poisonings - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Intestinal infectious diseases - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,2012,83921,61253,9691,19586,16811,12264,8891,8615,5556,5735,3480,6231,32,688,40,4313,29,44,172,6516,3126,4614,49,1307,17100,875,646,35,36,43
Afghanistan,AFG,2013,85143,52162,8850,19563,17351,16347,8782,7740,4865,4467,6113,4068,33,221,36,4771,36,34,39,6054,2794,2750,43,1260,46350,342,1564,44,47,43
Afghanistan,AFG,2014,99391,55886,8925,18858,17477,9392,7961,7708,6541,5068,5729,3139,28,36,38,3137,47,48,32,7476,2918,4453,51,1379,29223,834,827,31,41,31
Afghanistan,AFG,2015,89063,56270,6183,16566,16472,14444,7135,8993,6381,4768,5977,4313,42,50,40,3189,37,45,47,8278,2769,5836,42,1236,55121,1163,1775,37,30,35
Afghanistan,AFG,2016,76335,51255,4696,21050,16941,12602,7774,9288,5869,5124,6844,5516,47,36,34,2148,35,46,38,7360,3034,7036,39,1463,70404,655,2442,38,34,35
Afghanistan,AFG,2017,98388,49432,5204,15024,17440,11581,8675,7918,5411,4404,4891,4173,25,32,35,2032,45,32,33,8537,3651,5702,36,1403,41149,1419,2444,45,28,35
Afghanistan,AFG,2018,89994,59152,4873,20419,20314,15886,8637,8137,6170,5275,4793,3368,39,31,49,1194,35,37,35,7216,2407,4512,37,1267,78902,436,2786,39,24,32
Afghanistan,AFG,2019,99527,64269,3375,17384,22939,14913,8746,9319,5913,5623,4520,4558,22,29,38,910,33,41,37,8394,3373,7691,36,1398,60774,1367,2699,38,33,46
Albania,ALB,1990,8214,4635,1804,1089,249,319,293,784,390,786,291,233,977,1178,468,1110,507,217,216,3,82,3,103,25,5,2,4,457,511,201
Albania,ALB,1991,6652,4307,1253,1027,362,300,307,785,470,620,280,286,974,588,747,1035,459,235,190,22,111,2,112,29,2,3,1,612,583,123
Albania,ALB,1992,7520,4530,1411,1269,323,428,316,778,402,540,274,240,802,1324,697,878,299,263,226,46,97,3,96,31,3,2,1,512,437,166
Albania,ALB,1993,6765,4001,1050,1148,398,411,391,774,418,606,465,229,835,645,526,997,301,225,141,82,87,15,104,44,4,3,1,477,461,162
Albania,ALB,1994,7441,4314,1875,1385,493,444,389,781,412,570,359,253,875,760,508,1092,524,281,190,102,112,23,87,42,2,3,3,543,431,109
Albania,ALB,1995,7719,4036,1724,1329,541,488,316,706,480,543,274,257,523,721,533,967,236,204,157,107,102,50,72,45,15,5,1,504,316,117
Albania,ALB,1996,6742,4603,1341,1441,575,377,399,650,413,537,308,216,1001,591,603,962,278,217,163,147,109,37,71,44,44,5,4,509,471,85
Albania,ALB,1997,8996,4764,1602,1347,649,552,344,782,356,448,290,295,756,659,305,830,292,186,130,161,86,43,68,51,63,2,8,371,341,113
Albania,ALB,1998,6658,4123,1633,1145,545,455,421,744,415,511,337,227,482,457,270,956,375,185,150,182,153,84,67,63,58,10,19,320,207,89
Albania,ALB,1999,8049,4204,1025,1117,677,454,413,730,415,434,375,300,544,606,342,705,127,167,114,218,138,119,42,62,108,10,14,294,140,100
Albania,ALB,2000,6951,4179,802,1199,687,664,445,703,455,548,365,216,479,372,347,824,211,152,98,252,101,103,68,47,82,15,34,215,163,92
Albania,ALB,2001,7743,4206,984,1746,716,598,465,634,469,545,279,240,442,621,418,609,269,119,90,245,174,124,56,57,50,21,60,239,118,69
Albania,ALB,2002,6464,4648,1380,1373,790,629,409,613,485,460,369,296,286,265,288,652,193,117,103,280,205,146,50,62,113,39,40,226,56,63
Albania,ALB,2003,5685,4714,1281,1428,745,622,472,662,423,502,384,241,267,301,205,590,201,92,102,272,161,151,50,74,65,31,45,201,9,69
Albania,ALB,2004,8420,4108,867,1401,887,665,548,802,469,422,398,232,250,203,276,588,161,95,77,306,160,146,29,69,176,34,42,141,2,60
Albania,ALB,2005,6493,4333,1204,997,821,751,564,683,481,452,355,274,172,316,271,516,88,84,78,359,181,171,28,72,181,52,62,159,2,34
Albania,ALB,2006,7584,4381,955,1362,888,643,549,701,456,406,298,235,69,360,152,480,58,57,67,344,244,232,22,86,147,37,56,79,2,38
Albania,ALB,2007,7458,3822,711,1581,1051,591,529,675,446,476,374,105,25,216,161,517,79,50,59,411,168,253,19,86,94,17,43,50,1,21
Albania,ALB,2008,6687,4504,869,1317,1256,780,561,774,482,434,403,211,3,305,62,325,33,18,36,407,140,213,13,74,268,70,64,62,2,19
Albania,ALB,2009,5435,4295,837,1370,975,591,673,648,471,446,374,190,2,213,115,379,23,10,35,431,179,197,6,91,270,20,86,22,3,9
Albania,ALB,2010,7955,4971,728,1259,951,856,550,671,473,461,459,228,4,143,59,403,3,2,25,487,178,249,2,107,116,36,116,3,2,2
Albania,ALB,2011,5344,4766,525,900,1009,849,493,687,554,485,438,224,3,95,25,340,3,2,19,458,230,352,2,115,308,28,48,3,3,3
Albania,ALB,2012,6442,4783,615,1391,1167,837,572,622,463,383,424,178,2,52,2,386,2,2,12,500,247,219,3,67,229,53,121,3,3,3
Albania,ALB,2013,7441,4387,730,1402,1388,808,659,635,487,495,485,220,3,22,3,292,2,3,3,559,187,345,2,95,372,74,126,2,2,2
Albania,ALB,2014,7046,4581,616,1307,1195,872,584,581,570,445,354,204,3,2,3,269,3,2,2,577,215,318,3,115,417,27,88,2,1,3
Albania,ALB,2015,5515,4232,506,1510,1656,1022,623,618,418,321,423,180,1,4,3,172,1,3,2,695,213,371,3,109,320,63,113,2,3,3
Albania,ALB,2016,7996,4572,454,1304,1132,940,615,683,460,322,396,204,3,2,3,150,2,2,2,619,255,315,2,97,358,30,173,2,3,3
Albania,ALB,2017,6489,4447,450,1269,1119,929,685,652,481,389,455,195,3,2,2,108,3,3,3,698,191,297,2,117,203,87,112,2,3,3
Albania,ALB,2018,7928,4139,470,1308,1192,876,737,635,489,342,433,205,2,1,3,83,3,2,3,560,252,404,2,81,512,33,85,2,3,3
Albania,ALB,2019,6216,4884,259,1375,1669,1082,660,572,475,389,422,150,1,2,2,65,1,3,3,656,226,378,3,125,181,79,138,3,2,3
Algeria,DZA,1990,97244,57387,25846,18986,4146,5583,4358,13719,6828,8915,4682,3455,20567,10810,10586,15912,7542,4701,3688,41,1513,46,1728,354,39,27,36,7827,11624,2434
Algeria,DZA,1991,120626,69172,22139,19454,4953,6286,4392,12324,7662,6503,4935,3469,13017,13021,7944,13156,4085,3884,2914,417,1446,29,1906,447,22,40,37,8435,5162,1934
Algeria,DZA,1992,88928,71991,21564,19762,5300,6112,4483,10001,6580,7099,5627,4968,18805,19674,7142,15508,4379,4329,2567,776,1381,39,1612,583,73,122,22,9901,8192,2108
Algeria,DZA,1993,139225,63591,21967,17589,5715,6765,5033,12675,5866,10461,4662,2029,10126,10012,10431,13429,7880,3416,2474,851,1620,287,1309,471,69,22,56,7092,7056,2303
Algeria,DZA,1994,94261,65634,26234,17682,7137,6718,5481,10752,5239,8109,4234,3064,14295,21505,5915,16720,4269,3834,2853,1462,1826,529,1227,717,38,62,64,6404,7418,1992
Algeria,DZA,1995,128622,74306,19649,22080,7669,6804,4829,12425,6976,7958,4916,4006,6675,14493,7725,10803,5915,3484,2455,1958,1487,620,1551,817,110,92,50,6032,5033,2562
Algeria,DZA,1996,100367,70150,24424,21871,8175,6494,6311,9623,6039,7149,4985,4157,8405,6769,6216,11809,5842,3660,1952,2051,2055,1197,1308,387,530,87,89,6566,5006,1752
Algeria,DZA,1997,101520,73531,18642,20393,9375,6599,5294,12018,6941,10677,4989,3212,10999,6518,6676,10454,2288,2566,2587,2703,1681,1644,1168,755,330,123,122,5270,4050,1517
Algeria,DZA,1998,113459,59097,21744,20392,9992,7621,5927,11237,5815,8130,5141,3411,10470,13012,6749,8770,4898,2358,2430,2401,2056,995,1010,807,921,66,387,4273,3478,1191
Algeria,DZA,1999,132470,65045,15882,21080,11174,7946,5148,11832,5996,9224,6028,4283,3740,9836,2860,11919,3854,2292,1671,3561,1921,1076,794,605,1007,209,396,4013,2878,1503
Algeria,DZA,2000,113545,72808,18407,19302,11947,7627,6567,11697,5992,7220,5818,3634,9726,10074,3481,11931,3946,2072,1783,3766,2254,1583,872,1020,1078,152,588,3622,1100,1261
Algeria,DZA,2001,111189,72954,15005,22505,11332,10601,7989,11518,6881,8626,5506,3927,5158,8788,4810,9632,3535,1829,1525,4532,1967,2573,901,826,1057,538,399,4296,1267,1013
Algeria,DZA,2002,103724,59756,16172,16947,14536,8673,7765,9950,7026,7221,6026,3429,6719,9851,3742,10610,3093,2070,1548,4385,2458,1830,734,972,880,619,641,3125,851,989
Algeria,DZA,2003,109721,68798,17098,20673,13190,9059,7418,10526,6042,7767,4422,3920,2585,9453,4202,7015,2630,1796,1765,4634,2577,3310,468,1230,1168,384,746,2965,229,1002
Algeria,DZA,2004,114568,62101,12657,19443,13206,10685,7358,10507,8169,8925,7012,2937,3239,4118,2929,8823,2652,1100,1233,5074,3070,2440,666,1226,1100,573,721,3149,54,822
Algeria,DZA,2005,96483,68375,12802,20652,14052,9949,8271,10033,7264,7684,5141,3401,3194,5686,2451,8201,1656,1461,1246,5679,2919,2413,559,1270,2401,769,640,2792,50,585
Algeria,DZA,2006,108140,68470,14965,20053,13568,9131,7943,11610,5880,6547,5053,3443,1495,5549,3011,7394,1136,818,807,5703,2429,2166,371,1270,1731,257,790,1993,37,530
Algeria,DZA,2007,110377,64281,14842,21898,15724,13651,7824,10267,7897,6919,4211,3684,362,4075,2041,7688,1336,683,781,5699,3459,3263,292,1020,1690,628,1264,1173,39,491
Algeria,DZA,2008,105694,66911,11383,19774,18030,12324,9733,10393,7088,7061,4776,3323,46,3842,2056,6405,565,440,661,6044,2958,3476,190,1363,1540,295,990,987,41,297
Algeria,DZA,2009,108215,65873,13893,23886,18309,10701,7201,9941,7631,7048,5038,3534,37,2648,1495,4963,424,203,567,6490,2492,3868,56,1390,3158,308,1073,369,43,117
Algeria,DZA,2010,107756,71002,12408,21635,15936,13059,10140,9093,6089,6398,5719,2969,39,2227,1095,5206,24,54,447,6528,2727,4492,50,1345,1760,1148,1284,51,41,31
Algeria,DZA,2011,107501,68168,10095,22686,20173,12744,10212,10752,7026,6811,6685,2756,59,770,413,5663,49,59,313,6011,3513,4071,37,1384,4156,352,1393,34,45,42
Algeria,DZA,2012,115962,75174,11638,21926,17103,10792,10857,10085,7008,7465,5671,4732,22,959,38,4078,44,37,206,7117,3833,5073,46,1258,1980,999,748,43,41,43
Algeria,DZA,2013,112515,66553,10256,21567,21759,15974,9238,10742,7343,6182,4572,3239,45,238,25,4258,40,50,45,8404,3386,5616,57,1199,2090,1472,1513,57,30,42
Algeria,DZA,2014,94776,68858,7876,22910,20490,14467,9299,11145,7701,5945,6549,2748,58,58,51,4422,28,38,36,7648,3645,5559,41,1249,2200,1378,836,28,32,49
Algeria,DZA,2015,106312,68841,8518,18029,23105,12074,10386,8813,6204,4999,6164,2348,43,22,46,3638,36,54,39,8777,3969,4980,47,1608,3003,613,1959,42,44,52
Algeria,DZA,2016,109499,75323,8913,19869,19704,16271,11366,9931,7798,5207,6327,3887,37,22,37,2806,44,40,35,10010,3372,6352,48,1303,5348,462,1899,27,44,49
Algeria,DZA,2017,97509,61954,6617,21010,21870,16231,10899,9675,6571,4490,6484,4259,36,63,41,1974,46,48,54,10922,4198,5452,57,1435,6247,2315,1807,35,42,41
Algeria,DZA,2018,99677,68420,5201,18238,23404,11105,9425,9261,7350,5950,5892,3616,36,22,53,1762,33,51,40,11092,4166,6763,46,1339,8188,810,1011,32,35,45
Algeria,DZA,2019,101748,65672,5204,20073,22976,14255,10834,8498,8229,5349,5645,2315,28,37,43,709,24,57,43,11055,3825,5567,43,1963,7930,1719,1316,48,51,42
Argentina,ARG,1990,123847,71616,26118,20937,4860,5933,5303,14579,6433,9465,5191,3291,8747,13270,11291,18376,8714,3125,3170,46,1240,41,1868,408,50,22,31,8273,6925,3007
Argentina,ARG,1991,120845,60473,30653,21356,5560,6213,5217,12828,6623,9935,4849,3381,9084,8801,8406,17691,5628,5150,3386,326,1679,30,1819,440,79,30,53,8256,7481,2400
Argentina,ARG,1992,105412,72425,24062,21147,5948,5658,5140,11848,6577,8190,4517,4161,9680,15554,9473,13060,8708,3392,2809,642,1313,40,1458,540,22,57,45,6975,7699,2410
Argentina,ARG,1993,111620,70671,29608,17566,7432,6347,4954,13152,6395,10096,5610,3279,13364,15132,9413,17752,7486,3568,2703,937,1593,296,2063,716,61,45,33,5612,6667,2953
Argentina,ARG,1994,113317,63648,21569,18726,7884,6481,4707,11501,5557,8773,5873,5455,13363,13838,8704,14309,7870,3241,2947,1444,1612,460,1362,515,34,36,35,9225,6453,1784
Argentina,ARG,1995,111218,67012,29390,18761,6923,7904,4922,12291,6735,8249,6103,3236,9164,8212,6848,14680,5455,3515,2124,1923,1943,624,1173,738,219,122,40,5070,5152,1797
Argentina,ARG,1996,123918,74513,22710,21781,7972,6474,6971,10177,5623,8264,6675,3043,7521,15429,7519,11789,3621,2832,2097,1855,2120,832,1448,706,440,48,71,4844,5557,1794
Argentina,ARG,1997,117404,62321,15039,20297,10365,7637,6304,11671,6987,7561,6198,4018,6723,5512,8725,15139,4555,2488,2119,2401,2082,1357,1111,561,337,182,224,6712,5119,1575
Argentina,ARG,1998,123294,73613,21574,19846,10962,10057,6772,12994,6361,7338,5819,3298,6984,13866,7213,12129,4233,3324,2192,2894,1296,1625,1201,820,1551,67,395,4513,1800,1679
Argentina,ARG,1999,123599,68908,22669,21886,10898,9259,5650,10204,6975,10130,6573,4507,10003,10836,7138,13481,4045,2243,2104,3641,2471,1752,995,998,1280,147,445,4433,3240,742
Argentina,ARG,2000,117361,64893,20588,20405,9278,9429,6120,10235,7902,6630,6421,4359,7353,6998,5355,12728,2090,2579,1721,3200,2242,2267,881,876,675,134,619,3736,3241,1380
Argentina,ARG,2001,113593,72365,15219,23169,13254,10294,7045,10267,6485,9190,5368,3718,5724,7062,4546,9951,3290,1893,2035,3715,2265,2718,816,892,2225,186,758,2447,1970,1043
Argentina,ARG,2002,96129,71568,17818,19568,12071,10197,7587,10880,5922,6859,5211,3052,3041,6490,3532,9808,2222,1915,1783,3946,3229,1436,552,787,1984,494,559,3974,1141,927
Argentina,ARG,2003,102480,67665,11430,21654,12674,11262,7983,11689,7853,9129,5025,4003,2847,7746,4693,10695,2355,1419,1453,4396,2966,2920,663,1180,2847,769,1247,3139,232,804
Argentina,ARG,2004,115665,68886,15863,21829,15208,9890,8471,11141,7250,7185,4685,3483,3122,5602,3537,9125,2962,1305,1081,5927,2121,2007,573,1218,2608,696,405,3418,33,1108
Argentina,ARG,2005,97543,65143,19040,20104,14368,8101,6746,9775,6608,7972,5512,3300,2340,5460,3710,9026,1591,1309,1141,4320,2858,2709,538,1025,2246,225,829,2454,35,639
Argentina,ARG,2006,105590,71911,13453,21283,15819,11438,6188,10398,8035,8763,6321,3871,1614,5334,3054,7653,1779,860,1055,5655,2812,3543,413,1370,2107,1073,843,1914,32,572
Argentina,ARG,2007,101680,68990,13720,18610,15937,9152,7389,10601,6669,8196,5226,1985,508,3728,2924,8045,874,514,931,5789,2685,2521,280,808,1563,270,1101,1534,49,364
Argentina,ARG,2008,98635,82545,13171,20927,17502,13036,8838,9722,6750,8078,5316,3219,53,4265,900,7776,526,532,784,6852,3070,4914,191,1196,1580,908,985,1036,41,342
Argentina,ARG,2009,105130,69309,13405,20798,18577,11799,9017,11455,7825,6169,6998,2839,54,4250,830,7731,328,198,661,6450,3327,4082,91,1469,1687,447,629,418,53,157
Argentina,ARG,2010,120308,66001,12009,24650,17681,11717,9281,12189,6741,8148,5580,1799,46,1569,635,4144,51,40,375,7613,3285,4814,36,1681,1800,337,1225,39,47,46
Argentina,ARG,2011,104434,77152,7477,24470,16769,14174,10025,10231,7765,5684,7563,2671,52,1006,342,4735,56,48,277,7161,3657,3573,37,1074,6970,823,1558,38,32,46
Argentina,ARG,2012,108481,64758,9673,23080,21758,12484,10009,9661,7877,5873,7801,3911,40,1178,46,4157,42,48,194,8068,3179,4796,56,1331,4369,382,2319,46,39,51
Argentina,ARG,2013,112824,75479,10718,19378,20566,11750,8023,11279,5460,7124,6710,2654,45,259,49,3574,43,47,40,8903,2981,4825,45,1434,9478,580,1681,49,49,45
Argentina,ARG,2014,126125,70983,9098,20592,22543,11229,10243,9220,7130,6846,4626,3145,46,70,26,3798,45,50,44,7612,3596,6685,38,1867,3876,427,855,54,29,41
Argentina,ARG,2015,95086,76682,7526,18825,20642,12384,12221,10729,5722,4961,6979,3270,53,63,55,3628,54,32,37,9183,4261,3783,56,1560,2362,1954,2381,59,43,45
Argentina,ARG,2016,109039,67846,8282,17596,21630,15002,9396,9476,7974,6110,5362,2982,38,22,42,2867,42,37,43,9890,4067,5777,55,1375,5384,472,2818,48,49,48
Argentina,ARG,2017,121546,64951,7017,22448,20353,14150,9329,9583,7728,4945,6384,1588,41,55,45,2372,40,42,43,10319,5302,5123,43,1294,7756,1382,2710,65,68,66
Argentina,ARG,2018,97252,70290,5450,19766,23351,16605,9464,11484,7318,6426,5469,2694,38,54,42,1545,48,53,46,9863,3258,4626,44,1463,2700,658,3077,45,36,50
Argentina,ARG,2019,106576,69718,5960,21535,26440,13610,13303,10738,8096,4891,6908,3098,48,39,42,936,46,41,46,9241,5145,6363,46,2010,7252,1233,2169,54,36,41
Australia,AUS,1990,91939,45022,5150,11582,3234,3439,2492,6386,3725,5416,3358,2369,2558,36,1803,7296,3364,819,1487,27,804,28,898,279,14,51,17,1445,4500,1710
Australia,AUS,1991,81519,52663,3644,9649,3890,4358,2908,6236,4344,5284,2831,2252,2314,32,1613,6863,3901,771,1781,278,877,33,1124,209,46,30,13,1455,2389,1764
Australia,AUS,1992,88543,49223,4274,10409,3821,4966,2973,6200,3316,5947,2821,1394,1978,27,1449,11455,4335,561,1703,500,661,21,985,291,37,26,12,1099,3064,1373
Australia,AUS,1993,80969,49211,4071,9913,5652,4395,2916,6848,3630,4356,2646,2074,2176,29,1489,9603,3249,534,1993,708,841,129,957,427,51,12,23,1563,3290,1147
Australia,AUS,1994,78220,53056,3864,10823,5444,4524,3329,7115,3695,4740,2659,1903,1824,16,1526,7039,4867,694,1475,1062,946,194,664,308,12,12,39,1138,4113,1325
Australia,AUS,1995,82858,44259,3763,11123,5230,6105,3863,6292,3763,4030,3456,2178,1340,25,1010,7382,2425,614,1096,1480,779,315,993,429,196,65,22,1186,2593,1058
Australia,AUS,1996,83871,47259,3532,12544,6562,6385,3321,5880,3186,4286,3884,2223,1911,16,1024,6613,2467,492,1327,1677,913,650,523,310,346,42,71,1155,3075,881
Australia,AUS,1997,71208,51522,3498,11489,6908,6375,3223,6766,3540,4907,2594,2224,1433,16,1202,5028,2190,425,1311,1773,1002,617,772,592,223,156,106,1006,2014,852
Australia,AUS,1998,72650,54996,2928,9620,6613,5928,3188,7436,3493,3967,3799,1691,1415,23,1111,5782,2220,348,1042,2560,1462,818,523,348,811,91,123,1278,2300,923
Australia,AUS,1999,84761,50886,3851,12440,7677,5290,3190,6568,3599,3597,2728,2448,1721,13,1328,5597,2177,456,1343,2103,1101,1030,531,461,789,50,173,857,1516,859
Australia,AUS,2000,87260,52741,3140,10754,7418,5885,3906,5904,3769,4003,2464,1740,1441,12,880,6193,2412,362,996,3043,1138,964,581,575,907,62,170,728,874,582
Australia,AUS,2001,78886,44970,3348,13211,8066,6266,4002,6707,3760,4320,3824,2324,1120,8,784,4699,1757,362,988,2602,1360,1164,418,598,987,259,197,600,757,571
Australia,AUS,2002,67569,49011,2559,12101,7776,6342,3736,6247,3698,4579,3040,2115,640,11,375,4311,1303,201,992,3012,1082,1566,444,571,1777,143,330,599,503,560
